date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-03-21,788.0,792.8,785.75,781.5,32573.28,-7.05,-0.89,791.71,773.16,764.527,47609.05,49862.17,54410.74,0.26
2019-03-20,790.0,802.3,792.8,785.0,31117.52,0.19,0.02,790.16,769.445,761.252,53528.9,52622.89,54274.6,0.25
2019-03-19,803.0,807.92,792.61,792.3,40634.93,-17.48,-2.16,782.4,766.965,757.712,55417.67,54184.28,54612.84,0.32
2019-03-18,778.8,814.53,810.09,777.0,81318.8,32.79,4.22,772.88,765.682,754.62,57792.69,54603.84,54056.17,0.65
2019-03-15,776.0,787.5,777.3,764.85,52400.71,-0.7,-0.09,762.57,762.859,751.115,52140.38,54930.56,51877.52,0.42
2019-03-14,757.0,785.0,778.0,754.0,62172.56,24.0,3.18,754.61,764.059,748.489,52115.28,56074.51,50419.39,0.49
2019-03-13,745.5,760.75,754.0,745.5,40561.36,8.99,1.21,748.73,761.76,746.447,51716.88,55555.88,48923.67,0.32
2019-03-12,763.82,763.83,745.01,739.0,52510.01,-13.53,-1.78,751.53,760.43,745.51,52950.88,58093.97,48679.45,0.42
2019-03-11,740.04,766.95,758.54,740.04,53057.24,21.04,2.85,758.484,758.664,744.155,51414.99,58639.43,47808.52,0.42
2019-03-08,737.9,746.83,737.5,733.65,52275.25,-11.1,-1.48,763.148,757.043,742.493,57720.73,61595.97,48062.7,0.42
2019-03-07,762.22,762.22,748.6,745.56,60180.53,-19.4,-2.53,773.508,755.894,740.252,60033.73,58959.32,46974.97,0.48
2019-03-06,775.0,779.5,768.0,765.88,46731.37,-11.78,-1.51,774.79,753.059,737.302,59394.87,55926.31,45800.77,0.37
2019-03-05,785.0,789.55,779.78,775.88,44830.56,-2.08,-0.27,769.33,748.459,732.702,63237.05,55041.41,44599.2,0.36
2019-03-04,795.0,798.33,781.86,777.22,84585.96,-7.44,-0.94,758.844,743.557,727.963,65863.87,53508.5,43874.8,0.67
2019-03-01,761.5,790.0,789.3,761.0,63840.23,34.29,4.54,750.938,739.371,722.72,65471.2,48824.49,41450.64,0.51
2019-02-28,737.9,763.42,755.01,736.95,56986.25,14.31,1.93,738.28,732.919,717.24,57884.91,44764.27,39707.95,0.45
2019-02-27,733.0,758.02,740.7,731.0,65942.27,13.35,1.83,731.328,731.134,713.114,52457.74,42291.46,38316.4,0.52
2019-02-26,747.8,749.18,727.35,726.0,57964.66,-14.98,-2.02,727.588,730.589,709.362,46845.76,39264.94,36700.53,0.46
2019-02-25,730.75,744.44,742.33,717.99,82622.59,16.32,2.25,728.27,729.646,706.545,41153.13,36977.61,35908.41,0.66
